Program	Optimization	K	Iterations	Threads	Time (ms)
OMP 4K	O2	64	8	64	12070
OMP 4K	O2	64	32	64	46923
OMP 4K	O2	64	32	64	54600
OMP 4K	O2	256	20	64	29587
OMP 4K	O2	256	20	64	30301
OMP 4K	O2	256	16	64	23736
OMP 4K	O2	256	16	64	27877
OMP 4K	O2	64	20	64	29298
OMP 4K	O2	64	20	64	30072
OMP 4K	O2	256	8	64	11743
OMP 4K	O2	256	8	64	11945
OMP 4K	O2	256	32	64	46818
OMP 4K	O2	256	32	64	54366
OMP 4K	O2	256	8	12	20176
OMP 4K	O2	256	8	12	20904
OMP 4K	O2	256	8	12	21591
OMP 4K	O2	256	8	12	21673
OMP 4K	O2	256	8	12	21972
OMP 4K	O2	256	8	12	22076
OMP 4K	O2	256	8	12	22311
OMP 4K	O2	256	8	12	22547
OMP 4K	O2	256	8	12	24533
OMP 4K	O2	256	8	12	40650
OMP 4K	O2	64	20	12	27319
OMP 4K	O2	64	20	12	28275
OMP 4K	O2	64	20	12	28453
OMP 4K	O2	64	20	12	28963
OMP 4K	O2	64	20	12	34606
OMP 4K	O2	64	20	12	27920
OMP 4K	O2	64	20	12	28400
OMP 4K	O2	64	20	12	28779
OMP 4K	O2	64	20	12	29758
OMP 4K	O2	64	20	12	31203
OMP 4K	O2	256	32	12	79674
OMP 4K	O2	64	32	12	43752
OMP 4K	O2	256	32	12	82428
OMP 4K	O2	64	32	12	46913
OMP 4K	O2	64	32	12	50248
OMP 4K	O2	64	32	12	51950
OMP 4K	O2	64	32	12	52780
OMP 4K	O2	64	32	12	53652
OMP 4K	O2	64	32	12	50811
OMP 4K	O2	64	32	12	51836
OMP 4K	O2	64	32	12	52802
OMP 4K	O2	64	32	12	54628
OMP 4K	O2	256	32	12	86761
OMP 4K	O2	256	32	12	91647
OMP 4K	O2	256	32	12	107857
OMP 4K	O2	256	32	12	83708
OMP 4K	O2	256	20	12	49779
OMP 4K	O2	256	32	12	88103
OMP 4K	O2	256	32	12	88382
OMP 4K	O2	256	32	12	90239
OMP 4K	O2	256	32	12	164590
OMP 4K	O2	256	16	12	44095
OMP 4K	O2	256	16	12	44126
OMP 4K	O2	256	16	12	44306
OMP 4K	O2	256	16	12	44797
OMP 4K	O2	256	16	12	45461
OMP 4K	O2	256	20	12	54560
OMP 4K	O2	256	16	12	46005
OMP 4K	O2	256	16	12	46244
