Program	Optimization	K	Iterations	Threads	Time (ms)
OMP	O2	256	32	16	6792
OMP	O2	256	32	16	7000
OMP	O2	256	32	16	6506
OMP	O2	256	32	16	12287
OMP	O2	256	32	16	7408
OMP	O2	256	32	16	7108
OMP	O2	256	32	12	9526
OMP	O2	256	32	12	9067
OMP	O2	256	32	12	9323
OMP	O2	256	32	12	16857
OMP	O2	256	32	12	15979
OMP	O2	256	32	12	8661
OMP	O2	256	32	12	8898
OMP	O2	256	32	12	10861
OMP	O2	256	32	12	8504
OMP	O2	256	32	12	9494
OMP	O2	256	32	8	13733
OMP	O2	256	32	8	12926
OMP	O2	256	32	8	13416
OMP	O2	256	32	8	13816
OMP	O2	256	32	8	23974
OMP	O2	256	32	8	13167
OMP	O2	256	32	8	12766
OMP	O2	256	32	8	12888
OMP	O2	256	32	8	12158
OMP	O2	256	32	8	13655
OMP	O2	256	32	4	27175
OMP	O2	256	32	4	28964
OMP	O2	256	32	4	26910
OMP	O2	256	32	4	27049
OMP	O2	256	32	4	28217
OMP	O2	256	32	4	27667
OMP	O2	256	32	4	26168
OMP	O2	256	32	4	28308
OMP	O2	256	32	4	48911
OMP	O2	256	32	4	51602
OMP	O2	256	32	2	53548
OMP	O2	256	32	2	55093
OMP	O2	256	32	2	55097
OMP	O2	256	32	2	57518
OMP	O2	256	32	2	54250
OMP	O2	256	32	2	55175
OMP	O2	256	32	2	92874
OMP	O2	256	32	2	93506
OMP	O2	256	32	2	97283
OMP	O2	256	32	2	101774
OMP	O2	256	32	1	110882
OMP	O2	256	32	1	111233
OMP	O2	256	32	1	114829
OMP	O2	256	32	1	118043
OMP	O2	256	32	1	104694
OMP	O2	256	32	1	107002
OMP	O2	256	32	1	107054
OMP	O2	256	32	1	109332
OMP	O2	256	32	1	110853
OMP	O2	256	32	1	113190
